File,OwnerName,IsDir,IsOff,IsTen,SecTitle,TransDate,Shares,PPS,ADCode,SharesAfter,DIOwner
0001225208-13-012562,DAMELIO FRANK A,0,1,0,Common Stock,2013-05-15,1700.0000,29.2600,D,582682.0000,D
0001225208-13-012562,DAMELIO FRANK A,0,1,0,Common Stock,2013-05-15,2200.0000,29.2300,D,580482.0000,D
0001225208-13-012562,DAMELIO FRANK A,0,1,0,Common Stock,2013-05-15,2400.0000,29.3700,D,578082.0000,D
0001225208-13-012562,DAMELIO FRANK A,0,1,0,Common Stock,2013-05-15,2400.0000,29.2500,D,575682.0000,D
0001225208-13-012562,DAMELIO FRANK A,0,1,0,Common Stock,2013-05-15,2447.0000,29.2700,D,573235.0000,D
0001225208-13-012562,DAMELIO FRANK A,0,1,0,Common Stock,2013-05-15,2700.0000,29.4000,D,570535.0000,D
0001225208-13-012562,DAMELIO FRANK A,0,1,0,Common Stock,2013-05-15,3500.0000,29.3900,D,567035.0000,D
0001225208-13-012562,DAMELIO FRANK A,0,1,0,Common Stock,2013-05-15,4745.0000,29.2900,D,562290.0000,D
0001225208-13-012562,DAMELIO FRANK A,0,1,0,Common Stock,2013-05-15,5103.0000,29.3600,D,557187.0000,D
0001225208-13-012562,DAMELIO FRANK A,0,1,0,Common Stock,2013-05-15,5693.0000,29.3100,D,551494.0000,D
0001225208-13-012562,DAMELIO FRANK A,0,1,0,Common Stock,2013-05-15,6342.0000,29.4100,D,545152.0000,D
0001225208-13-012562,DAMELIO FRANK A,0,1,0,Common Stock,2013-05-15,8106.0000,29.3400,D,537046.0000,D
0001225208-13-012562,DAMELIO FRANK A,0,1,0,Common Stock,2013-05-15,10913.0000,29.3300,D,526133.0000,D
0001225208-13-012562,DAMELIO FRANK A,0,1,0,Common Stock,2013-05-15,11706.0000,29.3500,D,514427.0000,D
0001225208-13-012562,DAMELIO FRANK A,0,1,0,Common Stock,2013-05-15,14248.0000,29.3200,D,500179.0000,D
0001225208-13-012562,DAMELIO FRANK A,0,1,0,Common Stock,2013-05-15,14497.0000,29.3000,D,485682.0000,D
0001225208-13-012576,READ IAN C,1,1,0,Common Stock,2013-05-15,200.0000,29.4900,D,1131163.0000,D
0001225208-13-012576,READ IAN C,1,1,0,Common Stock,2013-05-15,200.0000,29.4200,D,1130963.0000,D
0001225208-13-012576,READ IAN C,1,1,0,Common Stock,2013-05-15,200.0000,29.3800,D,1130763.0000,D
0001225208-13-012576,READ IAN C,1,1,0,Common Stock,2013-05-15,700.0000,29.4700,D,1130063.0000,D
0001225208-13-012576,READ IAN C,1,1,0,Common Stock,2013-05-15,705.0000,29.3200,D,1129358.0000,D
0001225208-13-012576,READ IAN C,1,1,0,Common Stock,2013-05-15,900.0000,29.4600,D,1128458.0000,D
0001225208-13-012576,READ IAN C,1,1,0,Common Stock,2013-05-15,1297.0000,29.2900,D,1127161.0000,D
0001225208-13-012576,READ IAN C,1,1,0,Common Stock,2013-05-15,1302.0000,29.3300,D,1125859.0000,D
